"Iteracao";"grad_m";"grad_b"
880;-0.206415;3.467538
881;-0.206396;3.467209
882;-0.206376;3.466879
883;-0.206357;3.466549
884;-0.206337;3.466220
885;-0.206317;3.465890
886;-0.206298;3.465560
887;-0.206278;3.465231
888;-0.206258;3.464901
889;-0.206239;3.464572
890;-0.206219;3.464242
891;-0.206200;3.463913
892;-0.206180;3.463583
893;-0.206160;3.463254
894;-0.206141;3.462924
895;-0.206121;3.462595
896;-0.206102;3.462266
897;-0.206082;3.461936
898;-0.206062;3.461607
899;-0.206043;3.461278
900;-0.206023;3.460949
901;-0.206004;3.460620
902;-0.205984;3.460291
903;-0.205964;3.459961
904;-0.205945;3.459632
905;-0.205925;3.459303
906;-0.205906;3.458974
907;-0.205886;3.458645
908;-0.205867;3.458316
909;-0.205847;3.457988
910;-0.205827;3.457659
911;-0.205808;3.457330
912;-0.205788;3.457001
913;-0.205769;3.456672
914;-0.205749;3.456343
915;-0.205729;3.456015
916;-0.205710;3.455686
917;-0.205690;3.455357
918;-0.205671;3.455029
919;-0.205651;3.454700
920;-0.205632;3.454372
921;-0.205612;3.454043
922;-0.205593;3.453715
923;-0.205573;3.453386
924;-0.205553;3.453058
925;-0.205534;3.452729
926;-0.205514;3.452401
927;-0.205495;3.452073
928;-0.205475;3.451744
929;-0.205456;3.451416
930;-0.205436;3.451088
931;-0.205417;3.450760
932;-0.205397;3.450431
933;-0.205378;3.450103
934;-0.205358;3.449775
935;-0.205339;3.449447
936;-0.205319;3.449119
937;-0.205299;3.448791
938;-0.205280;3.448463
939;-0.205260;3.448135
940;-0.205241;3.447807
941;-0.205221;3.447479
942;-0.205202;3.447151
943;-0.205182;3.446823
944;-0.205163;3.446496
945;-0.205143;3.446168
946;-0.205124;3.445840
947;-0.205104;3.445512
948;-0.205085;3.445185
949;-0.205065;3.444857
950;-0.205046;3.444529
951;-0.205026;3.444202
952;-0.205007;3.443874
953;-0.204987;3.443547
954;-0.204968;3.443219
955;-0.204948;3.442892
956;-0.204929;3.442564
957;-0.204909;3.442237
958;-0.204890;3.441909
959;-0.204870;3.441582
960;-0.204851;3.441255
961;-0.204831;3.440928
962;-0.204812;3.440600
963;-0.204792;3.440273
964;-0.204773;3.439946
965;-0.204753;3.439619
966;-0.204734;3.439292
967;-0.204715;3.438964
968;-0.204695;3.438637
969;-0.204676;3.438310
970;-0.204656;3.437983
971;-0.204637;3.437656
972;-0.204617;3.437329
973;-0.204598;3.437003
974;-0.204578;3.436676
975;-0.204559;3.436349
976;-0.204539;3.436022
977;-0.204520;3.435695
978;-0.204500;3.435368
979;-0.204481;3.435042
980;-0.204462;3.434715
981;-0.204442;3.434388
982;-0.204423;3.434062
983;-0.204403;3.433735
984;-0.204384;3.433409
985;-0.204364;3.433082
986;-0.204345;3.432756
987;-0.204325;3.432429
988;-0.204306;3.432103
989;-0.204287;3.431776
990;-0.204267;3.431450
991;-0.204248;3.431124
992;-0.204228;3.430797
993;-0.204209;3.430471
994;-0.204190;3.430145
995;-0.204170;3.429818
996;-0.204151;3.429492
997;-0.204131;3.429166
998;-0.204112;3.428840
999;-0.204092;3.428514
1000;-0.204073;3.428188
1001;-0.204054;3.427862
1002;-0.204034;3.427536
1003;-0.204015;3.427210
1004;-0.203995;3.426884
1005;-0.203976;3.426558
1006;-0.203957;3.426232
1007;-0.203937;3.425906
1008;-0.203918;3.425580
1009;-0.203898;3.425255
1010;-0.203879;3.424929
1011;-0.203860;3.424603
1012;-0.203840;3.424277
1013;-0.203821;3.423952
1014;-0.203801;3.423626
1015;-0.203782;3.423300
1016;-0.203763;3.422975
1017;-0.203743;3.422649
1018;-0.203724;3.422324
1019;-0.203705;3.421998
1020;-0.203685;3.421673
1021;-0.203666;3.421347
1022;-0.203646;3.421022
1023;-0.203627;3.420697
1024;-0.203608;3.420371
1025;-0.203588;3.420046
1026;-0.203569;3.419721
